2026-04-19 21:21:52,499 - INFO - code000526.SZ,dateBegin:2013-02-07 00:00:00,buyPrice:10.29,endDate:20130219,endPrice:9.76.result:lose
2026-04-19 21:21:52,777 - INFO - code000528.SZ,dateBegin:2011-08-19 00:00:00,buyPrice:10.72,endDate:20110905,endPrice:9.84.result:lose
2026-04-19 21:21:53,088 - INFO - code000529.SZ,dateBegin:2009-07-16 00:00:00,buyPrice:8.01,endDate:20090911,endPrice:6.99.result:lose
2026-04-19 21:21:53,353 - INFO - code000530.SZ,dateBegin:2013-09-07 00:00:00,buyPrice:3.55,endDate:20131114,endPrice:3.35.result:lose
2026-04-19 21:21:53,725 - INFO - code000531.SZ,dateBegin:2005-05-10 00:00:00,buyPrice:1.14,endDate:20050516,endPrice:1.08.result:lose
2026-04-19 21:21:54,014 - INFO - code:000532.SZ,dateBegin:2009-05-03 00:00:00,buyPrice:9.11,endDate:20090508,endPrice:10.23.result:win
2026-04-19 21:21:54,161 - INFO - code:000533.SZ,dateBegin:2025-11-10 00:00:00,buyPrice:9.2,endDate:20251113,endPrice:10.37.result:win
2026-04-19 21:21:54,611 - INFO - code000534.SZ,dateBegin:1996-09-12 00:00:00,buyPrice:6.7,endDate:20010730,endPrice:5.77.result:lose
2026-04-19 21:21:54,802 - INFO - code000536.SZ,dateBegin:2023-03-16 00:00:00,buyPrice:2.16,endDate:20230419,endPrice:2.03.result:lose
2026-04-19 21:21:55,095 - INFO - code000537.SZ,dateBegin:2016-02-21 00:00:00,buyPrice:6.39,endDate:20160225,endPrice:5.86.result:lose
2026-04-19 21:21:55,518 - INFO - code000538.SZ,dateBegin:1997-04-25 00:00:00,buyPrice:1.77,endDate:20010726,endPrice:1.67.result:lose
2026-04-19 21:21:55,819 - INFO - code000539.SZ,dateBegin:2013-03-23 00:00:00,buyPrice:3.82,endDate:20130328,endPrice:3.62.result:lose
2026-04-19 21:21:56,211 - INFO - code000541.SZ,dateBegin:1996-03-27 00:00:00,buyPrice:1.43,endDate:20010730,endPrice:1.34.result:lose
2026-04-19 21:21:56,587 - INFO - code:000543.SZ,dateBegin:2003-01-12 00:00:00,buyPrice:1.9,endDate:20030225,endPrice:2.11.result:win
2026-04-19 21:21:56,936 - INFO - code:000544.SZ,dateBegin:2004-03-11 00:00:00,buyPrice:2.4,endDate:20040323,endPrice:2.68.result:win
2026-04-19 21:21:57,223 - INFO - code:000545.SZ,dateBegin:2012-08-23 00:00:00,buyPrice:3.36,endDate:20130726,endPrice:4.04.result:win
2026-04-19 21:21:57,496 - INFO - code:000546.SZ,dateBegin:2013-09-23 00:00:00,buyPrice:6.09,endDate:20131210,endPrice:6.7.result:win
2026-04-19 21:21:57,675 - INFO - code:000547.SZ,dateBegin:2024-09-11 00:00:00,buyPrice:6.21,endDate:20240927,endPrice:7.11.result:win
2026-04-19 21:21:58,085 - INFO - code000548.SZ,dateBegin:2000-01-08 00:00:00,buyPrice:5.15,endDate:20010730,endPrice:4.78.result:lose
2026-04-19 21:21:58,439 - INFO - code:000550.SZ,dateBegin:2005-06-02 00:00:00,buyPrice:1.29,endDate:20050609,endPrice:1.42.result:win
2026-04-19 21:21:58,782 - INFO - code000551.SZ,dateBegin:2003-07-06 00:00:00,buyPrice:2.15,endDate:20030825,endPrice:2.04.result:lose
2026-04-19 21:21:58,934 - INFO - code:000552.SZ,dateBegin:2026-02-25 00:00:00,buyPrice:2.59,endDate:20260312,endPrice:2.85.result:win
2026-04-19 21:21:59,075 - INFO - code000553.SZ,dateBegin:2025-07-11 00:00:00,buyPrice:7.47,endDate:20250715,endPrice:6.92.result:lose
2026-04-19 21:21:59,368 - INFO - code000554.SZ,dateBegin:2009-08-07 00:00:00,buyPrice:6.76,endDate:20090812,endPrice:6.42.result:lose
2026-04-19 21:21:59,514 - INFO - code000555.SZ,dateBegin:2025-11-14 00:00:00,buyPrice:18.55,endDate:20251121,endPrice:17.3.result:lose
2026-04-19 21:21:59,770 - INFO - code000557.SZ,dateBegin:2010-05-30 00:00:00,buyPrice:4.42,endDate:20100601,endPrice:4.15.result:lose
2026-04-19 21:22:00,096 - INFO - code:000558.SZ,dateBegin:2007-11-04 00:00:00,buyPrice:2.92,endDate:20071115,endPrice:3.3.result:win
2026-04-19 21:22:00,537 - INFO - code000559.SZ,dateBegin:1996-06-26 00:00:00,buyPrice:0.96,endDate:20010730,endPrice:0.88.result:lose
2026-04-19 21:22:00,919 - INFO - code000560.SZ,dateBegin:2000-12-23 00:00:00,buyPrice:2.82,endDate:20010730,endPrice:2.58.result:lose
2026-04-19 21:22:01,189 - INFO - code:000561.SZ,dateBegin:2015-01-23 00:00:00,buyPrice:9.0,endDate:20150217,endPrice:10.01.result:win
